pattern,lambda,velocities,N_clusters,A_clusters,time
sine,1,0.0,1,"[[0, 262144]]",0.028180393659594506
sine,1,0.0,1,"[[0, 262144]]",0.05636078731918901
sine,1,0.0,1,"[[0, 262144]]",0.08454118097878352
sine,1,0.0,1,"[[0, 262144]]",0.11272157463837802
sine,1,0.0,1,"[[0, 262144]]",0.14090196829797252
sine,1,0.0,1,"[[0, 262144]]",0.16908236195756704
sine,1,0.0,1,"[[0, 262144]]",0.19726275561716153
sine,1,0.0,1,"[[0, 262144]]",0.22544314927675604
sine,1,0.0,1,"[[0, 262144]]",0.25362354293635053
sine,1,0.0,1,"[[0, 262144]]",0.28180393659594505
sine,1,0.0,1,"[[0, 262144]]",0.30998433025553956
sine,1,0.0,1,"[[0, 262144]]",0.3381647239151341
sine,1,0.0,1,"[[0, 262144]]",0.3663451175747286
sine,1,0.0,1,"[[0, 262144]]",0.39452551123432306
sine,1,0.0,1,"[[0, 262144]]",0.4227059048939176
sine,1,0.0,1,"[[0, 262144]]",0.4508862985535121
sine,1,0.0,1,"[[0, 262144]]",0.4790666922131066
sine,1,0.0,1,"[[0, 262144]]",0.5072470858727011
sine,1,0.0,1,"[[0, 262144]]",0.5354274795322956
sine,1,0.0,1,"[[0, 262144]]",0.5636078731918901
sine,1,0.0,1,"[[0, 262144]]",0.5917882668514847
sine,1,0.0,1,"[[0, 262144]]",0.6199686605110791
sine,1,0.0,1,"[[0, 262144]]",0.6481490541706736
sine,1,0.0,1,"[[0, 262144]]",0.6763294478302682
sine,1,0.0,1,"[[0, 262144]]",0.7045098414898626
sine,1,0.0,1,"[[0, 262144]]",0.7326902351494572
sine,1,0.0,1,"[[0, 262144]]",0.7608706288090517
sine,1,0.0,1,"[[0, 262144]]",0.7890510224686461
sine,1,0.0,1,"[[0, 262144]]",0.8172314161282407
sine,1,0.0,1,"[[0, 262144]]",0.8454118097878351
sine,1,0.0,1,"[[0, 262144]]",0.8735922034474297
sine,1,0.0,1,"[[0, 262144]]",0.9017725971070242
sine,1,0.0,1,"[[0, 262144]]",0.9299529907666186
sine,1,0.0,1,"[[0, 262144]]",0.9581333844262132
sine,1,0.0,1,"[[0, 262144]]",0.9863137780858077
sine,1,0.0,1,"[[0, 262144]]",1.0144941717454021
sine,1,0.0,1,"[[0, 262144]]",1.0426745654049967
sine,1,0.0,1,"[[0, 262144]]",1.0708549590645913
sine,1,0.0,1,"[[0, 262144]]",1.0990353527241856
sine,1,0.0,1,"[[0, 262144]]",1.1272157463837802
sine,1,0.0,1,"[[0, 262144]]",1.1553961400433748
sine,1,0.0,1,"[[0, 262144]]",1.1835765337029693
sine,1,0.0,1,"[[0, 262144]]",1.2117569273625637
sine,1,0.0,1,"[[0, 262144]]",1.2399373210221583
sine,1,0.0,1,"[[0, 262144]]",1.2681177146817528
sine,1,0.0,1,"[[0, 262144]]",1.2962981083413472
sine,1,0.0,1,"[[0, 262144]]",1.3244785020009417
sine,1,0.0,1,"[[0, 262144]]",1.3526588956605363
sine,1,0.0,1,"[[0, 262144]]",1.3808392893201307
sine,1,0.0,1,"[[0, 262144]]",1.4090196829797252
sine,1,0.0,1,"[[0, 262144]]",1.4372000766393198
sine,1,0.0,1,"[[0, 262144]]",1.4653804702989144
sine,1,0.0,1,"[[0, 262144]]",1.4935608639585087
sine,1,0.0,1,"[[0, 262144]]",1.5217412576181033
sine,1,0.0,1,"[[0, 262144]]",1.5499216512776979
sine,1,0.0,1,"[[0, 262144]]",1.5781020449372922
sine,1,0.0,1,"[[0, 262144]]",1.6062824385968868
sine,1,0.0,1,"[[0, 262144]]",1.6344628322564814
sine,1,0.0,1,"[[0, 262144]]",1.6626432259160757
sine,1,0.0,1,"[[306, 261838]]",1.6908236195756703
sine,1,0.0,1,"[[1378, 260766]]",1.7190040132352649
sine,1,0.0,1,"[[2722, 259422]]",1.7471844068948594
sine,1,0.0,1,"[[4282, 257862]]",1.7753648005544538
sine,1,0.0,1,"[[6018, 256126]]",1.8035451942140484
sine,1,0.0,1,"[[7866, 254278]]",1.831725587873643
sine,1,0.0,1,"[[9826, 252318]]",1.8599059815332373
sine,1,0.0,1,"[[11962, 250182]]",1.8880863751928318
sine,1,0.0,1,"[[14210, 247934]]",1.9162667688524264
sine,1,0.0,1,"[[16506, 245638]]",1.9444471625120208
sine,1,0.0,1,"[[18850, 243294]]",1.9726275561716153
