Rupture_times_LB,Wavelengths,Gamma,Lambda,Rupture_time
380900,1,1.5,512,2.1467823889879094
104500,2,1.5,256,0.5889702274855252
56800,3,1.5,171,0.32012927197299357
31400,4,1.5,128,0.1769728721822535
23900,5,1.5,102,0.13470228169286175
18800,6,1.5,85,0.10595828016007534
16600,7,1.5,73,0.09355890694985376
15000,8,1.5,64,0.08454118097878352
14900,9,1.5,57,0.08397757310559163
16000,10,1.5,51,0.09017725971070242
29600,11,1.5,47,0.16682793046479946
48500,12,1.5,43,0.2733498184980667
475000,20,1.5,26,2.677137397661478
298000,1,0.0,512,1.6795514621118326
67500,2,0.0,256,0.3804353144045258
38500,3,0.0,171,0.2169890311788777
25000,4,0.0,128,0.14090196829797252
19500,5,0.0,102,0.10990353527241857
15800,6,0.0,85,0.08905004396431863
13800,7,0.0,73,0.07777788650048084
12300,8,0.0,64,0.06932376840260249
11700,9,0.0,57,0.06594212116345115
11300,10,0.0,51,0.06368768967068358
11700,11,0.0,47,0.06594212116345115
12600,12,0.0,43,0.07101459202217815
426000,20,0.0,26,2.400969539797452
