times,pat,vel,lambda,Lambda
1.6908236195756703,sin,0,1,512.0
2.2544314927675604,sin,100,1,512.0
2.338972673746344,sin,490,1,512.0
2.169890311788777,sin,980,1,512.0
2.395333461065533,sin,1470,1,512.0
1.6908236195756703,sin,10000,1,512.0
0.38888943250240415,sin,0,2,256.0
0.6594212116345114,sin,100,2,256.0
0.625604739242998,sin,490,2,256.0
0.5917882668514847,sin,980,2,256.0
0.4396141410896743,sin,1470,2,256.0
0.38888943250240415,sin,10000,2,256.0
0.22544314927675604,sin,0,3,170.66666666666666
0.4227059048939176,sin,100,3,170.66666666666666
0.3663451175747286,sin,490,3,170.66666666666666
0.3381647239151341,sin,980,3,170.66666666666666
0.25362354293635053,sin,1470,3,170.66666666666666
0.22544314927675604,sin,10000,3,170.66666666666666
2.508055035703911,lin,0,1,512.0
3.409827632810935,lin,100,1,512.0
3.240745270853368,lin,490,1,512.0
3.071662908895801,lin,980,1,512.0
2.8744001532786396,lin,1470,1,512.0
2.620776610342289,lin,10000,1,512.0
0.9863137780858077,lin,0,2,256.0
1.831725587873643,lin,100,2,256.0
1.8035451942140484,lin,490,2,256.0
1.6344628322564814,lin,980,2,256.0
1.6626432259160757,lin,1470,2,256.0
1.0144941717454021,lin,10000,2,256.0
0.7101459202217816,lin,0,3,170.66666666666666
1.1328518251156992,lin,100,3,170.66666666666666
1.1159435889199425,lin,490,3,170.66666666666666
1.0483106441369157,lin,980,3,170.66666666666666
0.8961365183751052,lin,1470,3,170.66666666666666
0.7101459202217816,lin,10000,3,170.66666666666666
